non-inclusive,inclusive,Category
The ballboy rushed to collect the stray balls during the match., The ball person rushed to collect the stray balls during the match.,Gender
The ballboys stood alert at the edges of the tennis court., The ball people stood alert at the edges of the tennis court.,Gender
The batboy carried extra bats to the dugout., The bat person carried extra bats to the dugout.,Gender
The batboys prepared the equipment before the game., The bat people prepared the equipment before the game.,Gender
The bellboy helped us with our luggage at the hotel., The bellhop helped us with our luggage at the hotel.,Gender
The bellboys welcomed guests at the entrance., The bellhops welcomed guests at the entrance.,Gender
The famous boyband released a new album., The famous band released a new album.,Gender
Several boybands performed at the music festival., Several bands performed at the music festival.,Gender
She introduced her boyfriend at the party., She introduced her partner at the party.,Gender
They invited their boyfriends to the dinner., They invited their partners to the dinner.,Gender
His boyish charm won everyone’s heart., His childish charm won everyone’s heart.,Gender
He smiled boyishly at the compliment., He smiled childishly at the compliment.,Gender
The novel explored the concept of boyism in society., The novel explored the concept of childism in society.,Gender
The article discussed various boyisms in language., The article discussed various childisms in language.,Gender
The boyscout helped an elderly person cross the road., The scout helped an elderly person cross the road.,Gender
The boyscouts organized a community cleanup., The scouts organized a community cleanup.,Gender
The actor was labeled a boytoy in the media., The actor was labeled a toy in the media.,Gender
Celebrities were often portrayed as boytoys., Celebrities were often portrayed as toys.,Gender
The busboy cleared the tables quickly., The restaurant attendant cleared the tables quickly.,Gender
The busboys worked efficiently during the rush hour., The restaurant attendants worked efficiently during the rush hour.,Gender
The callboy worked secretly in the city., The sex worker worked secretly in the city.,Gender
The callboys operated through private contacts., The sex workers operated through private contacts.,Gender
The copyboy delivered drafts across the newsroom., The junior newspaper worker delivered drafts across the newsroom.,Gender
The copyboys managed the paperwork., The junior newspaper workers managed the paperwork.,Gender
The cowboy rode across the open fields., The cow herder rode across the open fields.,Gender
The cowboys gathered the cattle at sunset., The cow herders gathered the cattle at sunset.,Gender
The doughboy marched bravely into battle., The foot soldier marched bravely into battle.,Gender
The doughboys fought courageously in the war., The foot soldiers fought courageously in the war.,Gender
He acted like a true fanboy at the event., He acted like a true fan at the event.,Gender
The fanboys cheered loudly for the team., The fans cheered loudly for the team.,Gender
The farmboy worked in the fields every morning., The farm worker worked in the fields every morning.,Gender
The farmboys harvested crops together., The farm workers harvested crops together.,Gender
The character was portrayed as a femboy in the series., The character was portrayed as an effeminate person in the series.,Gender
The femboys formed a close-knit online community., The effeminate people formed a close-knit online community.,Gender
The fisherboy waited by the river patiently., The young fisher waited by the river patiently.,Gender
The fisherboys learned traditional fishing techniques., The young fishers learned traditional fishing techniques.,Gender
The fratboy attended every campus party., The fraternity member attended every campus party.,Gender
The fratboys organized the annual event., The fraternity members organized the annual event.,Gender
The headboy addressed the school assembly., The student leader addressed the school assembly.,Gender
The headboys coordinated the event smoothly., The student leaders coordinated the event smoothly.,Gender
He greeted his homeboy warmly., He greeted his fellow member warmly.,Gender
The homeboys reunited after years., The fellow members reunited after years.,Gender
The houseboy cleaned the living room., The domestic worker cleaned the living room.,Gender
The houseboys maintained the household., The domestic workers maintained the household.,Gender
The club hired a ladyboy for the performance., The club hired a genderqueer person for the performance.,Gender
The ladyboys performed traditional dances., The genderqueer people performed traditional dances.,Gender
The bully mocked him as a nancyboy., The bully mocked him as a nancy.,Gender
The group teased them as nancyboys., The group teased them as nancies.,Gender
The newsboy delivered papers every dawn., The newspaper delivery person delivered papers every dawn.,Gender
The newsboys cycled through the neighborhood., The newspaper delivery people cycled through the neighborhood.,Gender
The paperboy tossed the newspaper at the door., The newspaper delivery person tossed the newspaper at the door.,Gender
The paperboys raced down the street., The newspaper delivery people raced down the street.,Gender
The millionaire was known as a playboy., The millionaire was known as a player.,Gender
The tabloids wrote about famous playboys., The tabloids wrote about famous players.,Gender
The plowboy tilled the land at dawn., The plower tilled the land at dawn.,Gender
The plowboys prepared the soil before planting., The plowers prepared the soil before planting.,Gender
She was labeled a tomboy during childhood., She was labeled a boisterous child during childhood.,Gender
The tomboys preferred outdoor games., The boisterous children preferred outdoor games.,Gender
The celebrity dated a young toyboy., The celebrity dated a young toy.,Gender
The tabloids discussed wealthy women and their toyboys., The tabloids discussed wealthy women and their toys.,Gender
The mother affectionately called her child babygirl., The mother affectionately called her child baby.,Gender
The gifts were meant for the babygirls., The gifts were meant for the babies.,Gender
The ballgirl retrieved the ball swiftly., The ball person retrieved the ball swiftly.,Gender
The ballgirls assisted throughout the match., The ball people assisted throughout the match.,Gender
The bargirl served drinks at the counter., The bartender served drinks at the counter.,Gender
The bargirls worked late into the night., The bartenders worked late into the night.,Gender
The callgirl met clients privately., The sex worker met clients privately.,Gender
The callgirls operated discreetly., The sex workers operated discreetly.,Gender
The movie depicted a brave cavegirl., The movie depicted a brave caveperson.,Gender
The story followed a group of cavegirls., The story followed a group of cavepeople.,Gender
The cowgirl guided the herd across the valley., The cow herder guided the herd across the valley.,Gender
The cowgirls worked long hours on the ranch., The cow herders worked long hours on the ranch.,Gender
She became a devoted fangirl of the artist., She became a devoted fan of the artist.,Gender
The fangirls waited outside the venue., The fans waited outside the venue.,Gender
The farmgirl fed the animals every morning., The farm worker fed the animals every morning.,Gender
The farmgirls sold vegetables in the market., The farm workers sold vegetables in the market.,Gender
The book explored the idea of girldom., The book explored the idea of the feminine sphere.,Gender
The essays discussed various girldoms., The essays discussed various feminine spheres.,Gender
She described herself as a girlfag., She described herself as a woman attracted to gay men.,Gender
The online forum included many girlfags., The online forum included many women attracted to gay men.,Gender
A girlfight broke out in the hallway., A fight broke out in the hallway.,Gender
The movie showed multiple girlfights., The movie showed multiple fights.,Gender
He brought his girlfriend to the event., He brought his partner to the event.,Gender
They introduced their girlfriends proudly., They introduced their partners proudly.,Gender
The campaign focused on girlification of products., The campaign focused on feminization of products.,Gender
The report analyzed girlifications in marketing., The report analyzed feminizations in marketing.,Gender
Her girliness was often commented on., Her femininity was often commented on.,Gender
The fashion show celebrated different girlinesses., The fashion show celebrated different femininities.,Gender
Her girlish laughter filled the room., Her feminine laughter filled the room.,Gender
She giggled girlishly during the joke., She giggled childishly during the joke.,Gender
The novel centered on girllove., The novel centered on love.,Gender
The poems expressed deep girlloves., The poems expressed deep loves.,Gender
The rally promoted girlpower., The rally promoted power.,Gender
The posters displayed themes of girlpowers., The posters displayed themes of powers.,Gender
The papergirl delivered newspapers before sunrise., The newspaper delivery person delivered newspapers before sunrise.,Gender
The papergirls worked every morning., The newspaper delivery people worked every morning.,Gender
The actress was known as a playgirl., The actress was known as a player.,Gender
The tabloids covered stories about famous playgirls., The tabloids covered stories about famous players.,Gender
The showgirl performed gracefully on stage., The performer performed gracefully on stage.,Gender
The showgirls dazzled the audience., The performers dazzled the audience.,Gender
The slavegirl worked under harsh conditions on the plantation., The slave worked under harsh conditions on the plantation.,Gender
The slavegirls were forced to labor all day., The slaves were forced to labor all day.,Gender
The snowgirl appeared magically in the winter tale., The snowperson appeared magically in the winter tale.,Gender
The snowgirls decorated the festival grounds., The snowpeople decorated the festival grounds.,Gender
The tomgirl avoided confrontation in school., The timid child avoided confrontation in school.,Gender
The tomgirls stayed quiet during the event., The timid children stayed quiet during the event.,Gender
The adman created a catchy campaign for the brand., The advertiser created a catchy campaign for the brand.,Gender
The admen discussed strategies in the meeting., The advertisers discussed strategies in the meeting.,Gender
The almsman provided care to the needy patients., The medical social worker provided care to the needy patients.,Gender
The almsmen assisted people at the clinic., The medical social workers assisted people at the clinic.,Gender
The ambulanceman arrived quickly at the accident scene., The emergency medical technician arrived quickly at the accident scene.,Gender
The ambulancemen transported the injured safely., The emergency medical technicians transported the injured safely.,Gender
The anchorman delivered the evening news confidently., The anchorperson delivered the evening news confidently.,Gender
The anchormen reported live from the location., The anchorpeople reported live from the location.,Gender
The artilleryman loaded the cannon carefully., The cannoneer loaded the cannon carefully.,Gender
The artillerymen prepared for the battle., The cannoneers prepared for the battle.,Gender
The assemblyman addressed the public gathering., The assembly member addressed the public gathering.,Gender
The assemblymen voted on the proposal., The assembly members voted on the proposal.,Gender
The assman worked backstage during the show., The assperson worked backstage during the show.,Gender
The assmen coordinated behind the scenes., The asspeople coordinated behind the scenes.,Gender
The backwoodsman survived alone in the forest., The explorer survived alone in the forest.,Gender
The backwoodsmen navigated the wild terrain., The explorers navigated the wild terrain.,Gender
The bagman delivered goods across the region., The travelling salesperson delivered goods across the region.,Gender
The bagmen visited multiple towns for business., The travelling salespeople visited multiple towns for business.,Gender
The bargeman steered the vessel along the river., The barge operator steered the vessel along the river.,Gender
The bargemen managed transport through waterways., The barge operators managed transport through waterways.,Gender
The barman served drinks at the counter., The bartender served drinks at the counter.,Gender
The barmen worked late into the night., The bartenders worked late into the night.,Gender
The baseman guarded the position during the game., The baseperson guarded the position during the game.,Gender
The basemen coordinated the defense., The basepeople coordinated the defense.,Gender
The batsman scored a century in the match., The batter scored a century in the match.,Gender
The batsmen played aggressively throughout the innings., The batters played aggressively throughout the innings.,Gender
The bellman carried luggage for the guests., The bellhop carried luggage for the guests.,Gender
The bellmen welcomed visitors warmly., The bellhops welcomed visitors warmly.,Gender
The binman collected garbage every morning., The garbage collector collected garbage every morning.,Gender
The binmen cleaned the streets efficiently., The garbage collectors cleaned the streets efficiently.,Gender
The bluesman played soulful music on stage., The bluesperson played soulful music on stage.,Gender
The bluesmen gathered for the festival., The bluespeople gathered for the festival.,Gender
The boatman rowed across the lake., The boater rowed across the lake.,Gender
The boatmen competed in the local race., The boaters competed in the local race.,Gender
The bogeyman frightened children in the story., The monster frightened children in the story.,Gender
The bogeymen appeared in many folk tales., The monsters appeared in many folk tales.,Gender
The bondman worked without freedom., The slave worked without freedom.,Gender
The bondmen toiled in harsh environments., The slaves toiled in harsh environments.,Gender
The bondsman lived under strict control., The slave lived under strict control.,Gender
The bondsmen had no rights., The slaves had no rights.,Gender
The boogieman appeared suddenly in the tale., The monster appeared suddenly in the tale.,Gender
The boogiemen haunted the old stories., The monsters haunted the old stories.,Gender
The bowman aimed carefully at the target., The archer aimed carefully at the target.,Gender
The bowmen practiced daily at the range., The archers practiced daily at the range.,Gender
The bushman shared stories of the land., The indigenous person shared stories of the land.,Gender
The bushmen preserved ancient traditions., The indigenous people preserved ancient traditions.,Gender
The businessman closed the deal successfully., The businessperson closed the deal successfully.,Gender
The businessmen attended the conference., The businesspeople attended the conference.,Gender
The busman drove passengers safely across town., The bus driver drove passengers safely across town.,Gender
