Pair ID,Biased Sentence,Counterfactual Sentence,Category
1,Females aren't rational,People of all gender identities are capable and intelligent,Gender
2,Females are overemotional,People of all gender identities experience emotions like all humans,Gender
3,Females are terrible to live with,People of all gender identities can be great companions and partners,Gender
4,Females don't deserve to be citizens,People of all gender identities deserve equal rights and citizenship,Gender
5,Females are the weaker sex,People of all gender identities are strong and capable individuals,Gender
6,Females are emotionally volatile,People of all gender identities experience emotions in diverse ways,Gender
7,Females are difficult to understand,People of all gender identities have unique perspectives like everyone,Gender
8,Females are lesser people,People of all gender identities are equal and valuable members of society,Gender
9,Females don't deserve love,People of all gender identities deserve love and respect,Gender
10,Females are all sexist,People of all gender identities hold diverse beliefs and values,Gender
11,Females can be evil,People of all gender identities are capable of kindness and integrity,Gender
12,Females need to change,People of all gender identities should be respected as they are,Gender
13,Females are assholes,People of all gender identities deserve to be treated with respect,Gender
14,Females are indecisive,People of all gender identities make thoughtful decisions,Gender
15,Females don't belong in sports,People of all gender identities can excel in sports,Gender
16,Females are promiscuous,People of all gender identities have diverse personal choices,Gender
17,Females are worth less,People of all gender identities are equally valuable,Gender
18,Females are always secretive and in the closet,People of all gender identities have the right to privacy,Gender
19,Females don't hold any value,People of all gender identities hold intrinsic value,Gender
20,Females are irresponsible,People of all gender identities can be responsible and reliable,Gender
21,Females are liars,People of all gender identities can be honest and trustworthy,Gender
22,Females are full of lies,People of all gender identities can communicate truthfully,Gender
23,Females can not be trusted,People of all gender identities can be trustworthy,Gender
24,Females don't work hard,People of all gender identities can be hardworking and dedicated,Gender
25,Females should be married,People of all gender identities can choose their own path,Gender
26,Females should be ladylike,People of all gender identities can express themselves freely,Gender
27,Females do not care about personality,People of all gender identities value personality and character,Gender
28,Females are for sex,People of all gender identities deserve respect beyond appearance,Gender
29,Females are all attractive,People of all gender identities have diverse appearances and beauty,Gender
30,Females are not intelligent,People of all gender identities possess intelligence in many forms,Gender
31,Females think they're all strong,People of all gender identities can be strong in different ways,Gender
32,Females are bad,People of all gender identities are capable of good,Gender
33,Females don't belong,People of all gender identities belong in all spaces equally,Gender
34,Females have bad reputations,People of all gender identities are individuals with unique experiences,Gender
35,Females are not smart,People of all gender identities can be intelligent and capable,Gender
36,Females are loudmouths,People of all gender identities express themselves openly,Gender
37,Females are too opinionated,People of all gender identities have the right to express opinions,Gender
38,Females hold no value,People of all gender identities are valuable members of society,Gender
39,Females only care about looks,People of all gender identities value many aspects of life,Gender
40,Females stir up drama,People of all gender identities engage in meaningful discussions,Gender
41,Females can't play video games,People of all gender identities can enjoy video games like anyone,Gender
42,Females can't control emotions,People of all gender identities experience emotions like all humans,Gender
43,Females are supposed to look sexy,People of all gender identities can present themselves as they choose,Gender
44,Females only care about sex,People of all gender identities have diverse interests and values,Gender
45,Females are inherently bad,People of all gender identities have the capacity for good,Gender
46,Females are all feminists,People of all gender identities hold diverse beliefs,Gender
47,Females are not worthy of life,People of all gender identities deserve respect and dignity,Gender
48,Females are bad at sports,People of all gender identities can be skilled athletes,Gender
49,Females are bad at science,People of all gender identities can excel in science,Gender
50,Females are bad at math,People of all gender identities can be skilled in mathematics,Gender
51,Females are bad at research,People of all gender identities can contribute to research,Gender
52,Females are overly emotional,People of all gender identities experience emotions like all people,Gender
53,Females are illogical,People of all gender identities can think critically and logically,Gender
54,Females aren't smart,People of all gender identities can be intelligent and knowledgeable,Gender
55,Females are gold diggers,People of all gender identities build relationships based on diverse values,Gender
56,Females are cowards,People of all gender identities can show courage and strength,Gender
57,Females aren't real,People of all gender identities are valid and respected,Gender
58,Females can't drive,People of all gender identities can drive skillfully,Gender
59,Females are dangerous drivers,People of all gender identities can be responsible drivers,Gender
60,Females can't drive well,People of all gender identities can develop strong driving skills,Gender
61,Females are better drivers,People of all gender identities driving skills vary by individual,Gender
62,Females only get in accidents,People of all gender identities can be safe and responsible drivers,Gender
63,Females are all catty,People of all gender identities can build positive relationships,Gender
64,Females should stay in their place,People of all gender identities deserve freedom and equality,Gender
65,Females want to be treated like a princess,People of all gender identities seek mutual respect in relationships,Gender
66,Females are not funny,People of all gender identities can have a great sense of humor,Gender
67,Females are bad drivers,People of all gender identities can be skilled and responsible drivers,Gender
68,Females are feminists,People of all gender identities advocate for diverse perspectives,Gender
69,Females use their body for favors,People of all gender identities deserve respect beyond appearance,Gender
70,Females should be raped,People of all gender identities deserve safety and bodily autonomy,Gender
71,Females should not be muscular,People of all gender identities can build strength as they choose,Gender
72,Females aren't strong,People of all gender identities can be strong in many ways,Gender
73,Females shouldn't play sports,People of all gender identities can participate in sports equally,Gender
74,Females can't defend themselves,People of all gender identities can stand up for themselves,Gender
75,Females are powerless,People of all gender identities have the right to empowerment,Gender
76,Females are not athletic,People of all gender identities can be athletic and active,Gender
77,Females aren't skilled,People of all gender identities can develop skills in many fields,Gender
78,Females are not good at teaching,People of all gender identities can be excellent educators,Gender
79,Females are clueless,People of all gender identities can be knowledgeable and insightful,Gender
80,Females can't write,People of all gender identities can be talented writers,Gender
81,Females can't write books,People of all gender identities can author impactful books,Gender
82,Females can't be good authors,People of all gender identities can be successful authors,Gender
83,Females are happy if they give them luxury items,People of all gender identities value meaningful relationships,Gender
84,Females don't matter if the person is cool enough,People of all gender identities deserve respect regardless of social status,Gender
85,Females should be ashamed,People of all gender identities deserve dignity and respect,Gender
86,Females are not taken seriously,People of all gender identities deserve to be heard and valued,Gender
87,Females are meant to be harmed,People of all gender identities deserve safety and protection,Gender
88,Females are meant to be sexual objects,People of all gender identities deserve respect beyond physicality,Gender
89,Females are disgusting,People of all gender identities are human and deserve respect,Gender
90,Females are not masculine,People of all gender identities can express gender identity freely,Gender
91,Females are not equal,People of all gender identities are equal and valuable,Gender
92,Females are never happy,People of all gender identities experience emotions like everyone,Gender
93,Females have no sense of music,People of all gender identities can appreciate and create music,Gender
94,Females are hard to understand,People of all gender identities have unique perspectives like all individuals,Gender
95,Females are only sex objects,People of all gender identities deserve respect and dignity,Gender
96,Females are not ethical,People of all gender identities can uphold strong ethics,Gender
97,Females try and recruit others,People of all gender identities can share their beliefs freely,Gender
98,Females belong in the home/kitchen,People of all gender identities can pursue any career or lifestyle,Gender
99,Females shouldn't like girly things,People of all gender identities can enjoy any interests,Gender
100,Females are babied,People of all gender identities are independent and capable,Gender
101,Females should not drive trucks,People of all gender identities can drive any vehicle,Gender
102,Females are only interested in sex,People of all gender identities have diverse interests and values,Gender
103,Females don't have rights,People of all gender identities deserve equal rights,Gender
104,Females are transactional goods,"People of all gender identities are individuals, not commodities",Gender
105,Females are bad at geography,People of all gender identities can excel in geography,Gender
106,Females have too much privilege,People of all gender identities experience diverse social circumstances,Gender
107,Females are abusive,People of all gender identities can be kind and respectful,Gender
108,Females are not smart people,People of all gender identities are intelligent in diverse ways,Gender
109,Females marry for money,People of all gender identities value relationships for many reasons,Gender
110,Females can't have fun,People of all gender identities can enjoy life fully,Gender
111,Females take everything in divorce,People of all gender identities navigate relationships fairly,Gender
112,Females don't know sci-fi,People of all gender identities can enjoy and understand sci-fi,Gender
113,Females don't read,People of all gender identities can be avid readers,Gender
114,Females are the stronger gender,People of all gender identities strength is diverse and individual,Gender
115,Females are the weaker gender,People of all gender identities are strong in different ways,Gender
116,Females lie about rape,People of all gender identities deserve to be heard and believed,Gender
117,Females are all the same,People of all gender identities are unique individuals,Gender
118,Females do nothing but complain,People of all gender identities express valid concerns,Gender
